id,stock,Nasdaq Traded,security_name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
344,BBDO,Y,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),N, ,N,100.0,N,,BBDO,BBDO,N
345,BBF,Y,BlackRock Municipal Income Investment Trust,N, ,N,100.0,N,,BBF,BBF,N
346,BBGI,Y,"Beasley Broadcast Group, Inc. - Class A Common Stock",Q,G,N,100.0,N,N,,BBGI,N
347,BBH,Y,VanEck Vectors Biotech ETF,Q,G,Y,100.0,N,N,,BBH,N
348,BBK,Y,Blackrock Municipal Bond Trust,N, ,N,100.0,N,,BBK,BBK,N
349,BBL,Y,BHP Group PlcSponsored ADR,N, ,N,100.0,N,,BBL,BBL,N
350,BBSI,Y,"Barrett Business Services, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BBSI,N
351,BBVA,Y,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,N, ,N,100.0,N,,BBVA,BBVA,N
352,BBW,Y,"Build-A-Bear Workshop, Inc. Common Stock",N, ,N,100.0,N,,BBW,BBW,N
353,BBX,Y,BBX Capital Corporation Class A Common Stock,N, ,N,100.0,N,,BBX,BBX,N
354,BBY,Y,"Best Buy Co., Inc. Common Stock",N, ,N,100.0,N,,BBY,BBY,N
355,BC,Y,Brunswick Corporation Common Stock,N, ,N,100.0,N,,BC,BC,N
356,BCBP,Y,"BCB Bancorp, Inc. (NJ) - Common Stock",Q,G,N,100.0,N,N,,BCBP,N
357,BCC,Y,"Boise Cascade, L.L.C. Common Stock",N, ,N,100.0,N,,BCC,BCC,N
358,BCE,Y,"BCE, Inc. Common Stock",N, ,N,100.0,N,,BCE,BCE,N
359,BCH,Y,Banco De Chile Banco De Chile ADS,N, ,N,100.0,N,,BCH,BCH,N
360,BCLI,Y,Brainstorm Cell Therapeutics Inc. - Common Stock,Q,S,N,100.0,N,N,,BCLI,N
361,BCO,Y,Brinks Company (The) Common Stock,N, ,N,100.0,N,,BCO,BCO,N
362,BCOM,Y,B Communications Ltd. - Ordinary Shares,Q,Q,N,100.0,N,N,,BCOM,N
363,BCOR,Y,"Blucora, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BCOR,N
364,BCOV,Y,Brightcove Inc. - Common Stock,Q,Q,N,100.0,N,N,,BCOV,N
365,BCPC,Y,Balchem Corporation - Common Stock,Q,Q,N,100.0,N,N,,BCPC,N
366,BCV,Y,"Bancroft Fund, Ltd.",A, ,N,100.0,N,,BCV,BCV,N
367,BDC,Y,Belden Inc Common Stock,N, ,N,100.0,N,,BDC,BDC,N
368,BDGE,Y,"Bridge Bancorp, Inc. - Common Stock",Q,Q,N,100.0,N,N,,BDGE,N
369,BDL,Y,"Flanigan's Enterprises, Inc. Common Stock",A, ,N,100.0,N,,BDL,BDL,N
